A,t_A
0.0170893735869132,0.5330333
0.0170893735869132,1.19970000000001
0.0168936788706705,1.89969989999997
0.0170893735869132,2.56636659999998
0.0168936788706705,3.23303320000002
0.0170893735869132,3.93303329999998
0.0168936788706705,4.59969999999998
0.0168936788706705,5.29969990000001
0.0168936788706705,5.96636660000001
0.0166979841544278,6.6663666
0.0168936788706705,7.33303330000001
0.0166979841544278,7.9996999
0.0166979841544278,8.69969989999998
0.0166979841544278,9.36636659999999
0.0165022894381852,10.0663666
0.0166979841544278,10.7330333
0.0166979841544278,11.3997
0.0166979841544278,12.0996999
0.0166979841544278,12.7663666
0.0165022894381852,13.4663666
0.0166979841544278,14.1330333
0.0165022894381852,14.7997
0.0165022894381852,15.4996999
0.0165022894381852,16.1663666
0.0163065947219425,16.8663666
0.0165022894381852,17.5330333
0.0163065947219425,18.1997
0.0163065947219425,18.8996999
0.0163065947219425,19.5663666
0.0163065947219425,20.2663666
0.0163065947219425,20.9330333
0.0161109000056999,21.6330332
0.0163065947219425,22.2996999
0.0161109000056999,22.9663666
0.0161109000056999,23.6663666
0.0161109000056999,24.3330333
0.0159152052894572,25.0330333
0.0161109000056999,25.6996999
0.0159152052894572,26.3663666
0.0159152052894572,27.0663666
0.0159152052894572,27.7330333
0.0159152052894572,28.4330332
0.0159152052894572,29.0996999
0.0157195105732145,29.7997
0.0159152052894572,30.4663666
0.0159152052894572,31.1330333
0.0157195105732145,31.8330332
0.0157195105732145,32.4996999
0.0157195105732145,33.1997
0.0157195105732145,33.8663333
0.0155238158569719,34.533
0.0157195105732145,35.2329999
0.0157195105732145,35.8996666
0.0155238158569719,36.5996666
0.0155238158569719,37.2663333
0.0155238158569719,37.933
0.0155238158569719,38.6329999
0.0155238158569719,39.2996666
0.0153281211407292,39.9996666
0.0155238158569719,40.6663333
0.0153281211407292,41.3663332
0.0153281211407292,42.0329999
0.0153281211407292,42.6996666
0.0153281211407292,43.3996666
0.0153281211407292,44.0663333
0.0151324264244865,44.7663332
0.0153281211407292,45.4329999
0.0151324264244865,46.0996666
0.0151324264244865,46.7996666
0.0151324264244865,47.4663333
0.0151324264244865,48.1663332
0.0151324264244865,48.8329999
0.0151324264244865,49.4996666
0.0151324264244865,50.1996666
0.0151324264244865,50.8663333
0.0149367317082439,51.5663332
0.0151324264244865,52.2329999
0.0149367317082439,52.8996666
0.0149367317082439,53.5996666
0.0149367317082439,54.2663333
0.0149367317082439,54.9663332
0.0149367317082439,55.6329999
0.0147410369920012,56.333
0.0149367317082439,56.9996666
0.0147410369920012,57.6663333
0.0147410369920012,58.3663332
0.0147410369920012,59.0329999
0.0147410369920012,59.733
0.0147410369920012,60.3996666
0.0145453422757586,61.0996666
0.0147410369920012,61.7663332
0.0145453422757586,62.4329999
0.0145453422757586,63.133
0.0145453422757586,63.7996666
0.0143496475595159,64.4996666
0.0145453422757586,65.1663332
0.0145453422757586,65.8329999
0.0143496475595159,66.533
0.0145453422757586,67.1996333000001
0.0143496475595159,67.8996332
0.0143496475595159,68.5662999
0.0143496475595159,69.2329666
0.0143496475595159,69.9329666
0.0143496475595159,70.5996333
0.0141539528432733,71.2996332
0.0143496475595159,71.9662999
0.0141539528432733,72.6663
0.0143496475595159,73.3329666
0.0141539528432733,73.9996333
0.0141539528432733,74.6996332
0.0141539528432733,75.3662999
0.0141539528432733,76.0329666
0.0141539528432733,76.7329666
0.0141539528432733,77.3996333
0.0139582581270306,78.0996332
0.0141539528432733,78.7662999
0.0139582581270306,79.4663
0.0139582581270306,80.1329666
0.0139582581270306,80.7996333
0.0139582581270306,81.4996332
0.0139582581270306,82.1662999
0.0137625634107879,82.8663
0.0139582581270306,83.5329666
0.0137625634107879,84.2329666
0.0137625634107879,84.8996332
0.0137625634107879,85.5662999
0.0137625634107879,86.2663
0.0137625634107879,86.9329666
0.0135668686945453,87.6329666
0.0137625634107879,88.2996332
0.0137625634107879,88.9662999
0.0135668686945453,89.6663
0.0135668686945453,90.3329666
0.0135668686945453,90.9996333
0.0135668686945453,91.6996332
0.0135668686945453,92.3662999
0.0135668686945453,93.0663
0.0135668686945453,93.7329666
0.0133711739783026,94.4329666
0.0135668686945453,95.0996332
0.0133711739783026,95.7662999
0.0133711739783026,96.4663
0.0133711739783026,97.1329666
0.0133711739783026,97.8329666
0.0133711739783026,98.4996332
0.0131754792620599,99.1996333000001
0.0133711739783026,99.8663
0.0133711739783026,100.5329333
0.0131754792620599,101.2329332
0.0133711739783026,101.8995999
0.0131754792620599,102.5996
0.0131754792620599,103.2662666
0.0131754792620599,103.9329333
0.0131754792620599,104.6329332
0.0131754792620599,105.2995999
0.0131754792620599,105.9995999
0.0131754792620599,106.6662666
0.0129797845458173,107.3329333
0.0131754792620599,108.0329333
0.0129797845458173,108.6995999
0.0129797845458173,109.3996
0.0129797845458173,110.0662666
0.0129797845458173,110.7329333
0.0129797845458173,111.4329332
0.0129797845458173,112.0995999
0.0127840898295746,112.7996
0.0129797845458173,113.4662666
0.0127840898295746,114.1662666
0.0127840898295746,114.8329332
0.0127840898295746,115.4995999
0.0127840898295746,116.1996
0.0127840898295746,116.8662666
0.0127840898295746,117.5662666
0.0127840898295746,118.2329332
0.0127840898295746,118.8995999
0.0127840898295746,119.5996
0.0127840898295746,120.2662666
0.012588395113332,120.9662666
0.0127840898295746,121.6329332
0.012588395113332,122.2995999
0.012588395113332,122.9995999
0.012588395113332,123.6662666
0.012588395113332,124.3662666
0.012588395113332,125.0329333
0.0123927003970893,125.7329333
0.012588395113332,126.3996
0.0123927003970893,127.0662666
0.0123927003970893,127.7662666
0.0123927003970893,128.4329332
0.0123927003970893,129.1329333
0.0123927003970893,129.7996
0.0123927003970893,130.4662666
0.0123927003970893,131.1662666
0.0123927003970893,131.8329332
0.0123927003970893,132.5329333
0.0123927003970893,133.1996
0.0121970056808466,133.8662333
0.0121970056808466,134.5662332
0.0121970056808466,135.2328999
0.0121970056808466,135.9329
0.0121970056808466,136.5995666
0.012001310964604,137.2995666
0.0121970056808466,137.9662332
0.0121970056808466,138.6328999
0.012001310964604,139.3329
0.0121970056808466,139.9995666
0.012001310964604,140.6995666
0.012001310964604,141.3662332
0.012001310964604,142.0328999
0.012001310964604,142.7329
0.012001310964604,143.3995666
0.012001310964604,144.0995666
0.012001310964604,144.7662332
0.0118056162483613,145.4662333
0.012001310964604,146.1329
0.012001310964604,146.7995666
0.0118056162483613,147.4995666
0.012001310964604,148.1662332
0.0118056162483613,148.8662333
0.0118056162483613,149.5329
0.0118056162483613,150.1995666
0.0118056162483613,150.8995666
0.0118056162483613,151.5662332
0.0116099215321186,152.2662333
0.0118056162483613,152.9329
0.0116099215321186,153.6328999
0.0116099215321186,154.2995666
0.0116099215321186,154.9662332
0.0116099215321186,155.6662333
0.0116099215321186,156.3329
0.0116099215321186,156.9995666
0.0116099215321186,157.6995666
0.0116099215321186,158.3662332
