x_1min,t_1min
0.00867450078847873,0.033333400000032
0.00710894305853743,0.0666667000000132
0.00495630117986814,0.10000009999996
0.00241226986871357,0.133333299999975
-0.000327456158683709,0.166666700000036
-0.00287148746983829,0.200000000000017
-0.00541551878099289,0.233333399999964
-0.0073724659434195,0.266666700000059
-0.00835093952463281,0.300000100000005
-0.00854663424087548,0.333333300000021
-0.00815524480839017,0.366666699999968
-0.00658968707844887,0.400000000000063
-0.00443704519977958,0.433333400000009
-0.00169731917238233,0.46666669999999
0.00104240685501492,0.500000100000051
0.00378213288241219,0.533333299999953
0.00593477476108145,0.566666700000013
0.00769602720726542,0.599999999999994
0.00906589022096405,0.633333400000055
0.00945727965344939,0.666666700000036
0.00906589022096405,0.700000099999983
0.00769602720726542,0.733333299999998
0.00593477476108145,0.766666700000059
0.00358643816616952,0.80000000000004
0.000846712138772271,0.833333399999987
-0.00189301388862498,0.866666699999968
-0.00463273991602225,0.900000100000028
-0.00678538179469151,0.933333300000044
-0.00815524480839017,0.96666669999999
-0.00874232895711813,0.999999999999972
-0.00835093952463281,1.03333340000003
-0.0073724659434195,1.06666670000001
-0.00541551878099289,1.10000009999996
-0.00287148746983829,1.13333329999998
-0.000131761442441036,1.16666670000004
0.00260796458495621,1.20000000000002
0.00515199589611082,1.23333339999996
0.00710894305853743,1.26666670000006
0.00867450078847873,1.30000010000001
0.00945727965344939,1.33333330000002
0.00926158493720672,1.36666669999997
0.00847880607223608,1.40000000000006
0.00671755362605211,1.43333340000001
0.0047606064636255,1.46666669999999
0.00202088043622822,1.50000010000005
-0.000718845591168998,1.53333329999995
-0.00345857161856628,1.56666670000001
-0.00600260292972088,1.59999999999999
-0.00776385537590482,1.63333340000005
-0.00854663424087548,1.66666670000004
-0.00854663424087548,1.70000009999998
-0.00795955009214749,1.7333333
-0.0063939923622062,1.76666670000006
-0.00404565576729427,1.80000000000004
-0.00150162445613966,1.83333339999999
0.00143379628750026,1.86666669999997
0.00397782759865484,1.90000010000003
0.0063261641935668,1.93333330000004
0.00808741663975077,1.96666669999999
0.00926158493720672,1.99999999999997
0.00945727965344939,2.03333340000003
0.00887019550472137,2.06666670000001
0.00750033249102278,2.10000009999996
0.00554338532859613,2.13333329999998
0.00319504873368423,2.16666670000004
0.000455322706286954,2.20000000000002
-0.00228440332111032,2.23333339999996
-0.0048284346322649,2.26666670000006
-0.00698107651093419,2.30000010000001
-0.00815524480839017,2.33333330000002
-0.00854663424087548,2.36666669999997
-0.00835093952463281,2.40000000000006
-0.00717677122717686,2.43333340000001
-0.00502412934850757,2.46666669999999
-0.00248009803735297,2.50000010000005
0.000259627990044309,2.53333329999995
0.00299935401744153,2.56666670000001
0.00554338532859613,2.59999999999999
0.0073046377747801,2.63333340000005
0.00887019550472137,2.66666670000004
0.00945727965344939,2.70000009999998
0.00926158493720672,2.7333333
0.00808741663975077,2.76666670000006
0.0063261641935668,2.80000000000004
0.00378213288241219,2.83333339999999
0.00143379628750026,2.86666669999997
-0.00130592973989702,2.90000010000003
-0.00404565576729427,2.93333330000004
-0.00619829764596355,2.96666669999999
-0.00776385537590482,2.99999999999997
-0.00854663424087548,3.03333340000003
-0.00854663424087548,3.06666670000001
-0.00756816065966218,3.10000009999996
-0.00600260292972088,3.13333329999998
-0.00345857161856628,3.16666670000004
-0.000914540307411699,3.20000000000002
0.00202088043622822,3.23333339999996
0.00456491174738283,3.26666670000006
0.00652185890980944,3.30000010000001
0.00828311135599341,3.33333330000002
0.00926158493720672,3.36666669999997
0.00945727965344939,3.40000000000006
0.00867450078847873,3.43333340000001
0.00710894305853743,3.46666669999999
0.00495630117986814,3.50000010000005
0.00260796458495621,3.53333329999995
-0.000131761442441036,3.56666670000001
-0.00267579275359564,3.59999999999999
-0.00541551878099289,3.63333340000005
-0.0073724659434195,3.66666670000004
-0.00835093952463281,3.70000009999998
-0.00854663424087548,3.7333333
-0.00815524480839017,3.76666670000006
-0.00678538179469151,3.80000000000004
-0.00463273991602225,3.83333339999999
-0.00208870860486765,3.86666669999997
0.000846712138772271,3.90000010000003
0.00358643816616952,3.93333330000004
0.00573908004483881,3.96666669999999
0.00769602720726542,3.99999999999997
